"CODIGO","NOMBRE_UNIVERSIDAD","TIPO_GESTION","DEPARTAMENTO_FILIAL","NOMBRE_FILIAL","CODIGO_CLASE_PROGRAMA","NOMBRE_CLASE_PROGRAMA","NOMBRE_PROGRAMA","ANIO_PERIODO","Cant_Carnes"
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",1,"SERVICIOS PERSONALES","ADMINISTRACION DE TURISMO",2018,7
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","INGENIERIA DE SEGURIDAD Y SALUD EN TRABAJO",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAESTRIA PROFESIONAL EN PREVENCION DE RIESGOS LABORALES Y AMBIENTALES",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",15,"EDUCACION FISICA","EDUCACION FISICA",2018,8
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",19,"OTROS PROGRAMAS EN EDUCACION","COMUNICACION SOCIAL",2018,16
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",19,"OTROS PROGRAMAS EN EDUCACION","EDUCACION",2018,7
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",19,"OTROS PROGRAMAS EN EDUCACION","MAESTRIA EN EDUCACION",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",21,"ARTE","ARTE",2018,4
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",21,"ARTE","CONSERVACION Y RESTAURACION",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",22,"HUMANIDADES","ANTROPOLOGIA",2018,9
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",22,"HUMANIDADES","ARQUEOLOGIA",2018,4
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",22,"HUMANIDADES","HISTORIA",2018,3
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",23,"IDIOMAS","LINGUISTICA",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",23,"IDIOMAS","LITERATURA",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","CIENCIA POLITICA",2018,15
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA",2018,13
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA INTERNACIONAL",2018,4
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA PUBLICA",2018,5
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN PSICOLOGIA",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","PSICOLOGIA",2018,15
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","PSICOLOGIA ORGANIZACIONAL Y DE LA GESTION HUMANA",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","SOCIOLOGIA",2018,3
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",32,"PERIODISMO E INFORMACION","BIBLIOTECOLOGIA Y C. DE LA INFOR",2018,5
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",41,"ADMINISTRACION Y COMERCIO","ADM. DE NEGOCIOS INTERNACIONALES",2018,12
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",41,"ADMINISTRACION Y COMERCIO","ADMINISTRACION",2018,24
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",41,"ADMINISTRACION Y COMERCIO","AUDITORIA EMPRES. Y SECTOR PUBL.",2018,11
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",41,"ADMINISTRACION Y COMERCIO","CONTABILIDAD",2018,30
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",41,"ADMINISTRACION Y COMERCIO","GESTION TRIBUTARIA",2018,17
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",41,"ADMINISTRACION Y COMERCIO","MAE. EN ADMINISTRACION",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",42,"DERECHO","DERECHO",2018,61
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",42,"DERECHO","MAE. EN DERECHO",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",51,"CIENCIAS BIOLOGICAS Y AFINES","CIENCIAS BIOLOGICAS",2018,6
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",51,"CIENCIAS BIOLOGICAS Y AFINES","MICROBIOLOGIA Y PARASITOLOGIA",2018,4
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",52,"MEDIO AMBIENTE","INGENIERIA AMBIENTAL",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","FISICA",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","GEOGRAFIA",2018,6
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","INGENIERIA GEOGRAFICA",2018,4
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","INGENIERIA GEOLOGICA",2018,6
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","INGENIERIA QUIMICA",2018,8
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","MAESTRIA EN GEOLOGIA",2018,1
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",53,"CIENCIAS FISICAS Y QUIMICAS","QUIMICA",2018,5
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",54,"MATEMATICAS Y ESTADISTICA","ESTADISTICA",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",54,"MATEMATICAS Y ESTADISTICA","INVESTIGACION OPERATIVA",2018,2
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",61,"INFORMATICA","COMPUTACION CIENTIFICA",2018,3
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO",NA,"[NO ESPECIFICADO]",61,"INFORMATICA","INGENIERIA DE SISTEMAS",2018,16
