"NOMBRE","NIVEL_ACADEMICO","ESTADO_LICENCIAMIENTO","PROGRAMAS","ALUMNOS"
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","DOCTORADO","LICENCIA OTORGADA",23,36932
"UNIVERSIDAD ANDINA DEL CUSCO","DOCTORADO","LICENCIA OTORGADA",7,8420
"UNIVERSIDAD CATOLICA DE SANTA MARIA","DOCTORADO","LICENCIA OTORGADA",12,12799
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","DOCTORADO","LICENCIA OTORGADA",2,8932
"UNIVERSIDAD DE HUANUCO","DOCTORADO","LICENCIA OTORGADA",3,1521
"UNIVERSIDAD DE LIMA","DOCTORADO","LICENCIA OTORGADA",1,22330
"UNIVERSIDAD DE PIURA","DOCTORADO","LICENCIA OTORGADA",5,6831
"UNIVERSIDAD DE SAN MARTIN DE PORRES","DOCTORADO","LICENCIA OTORGADA",14,35712
"UNIVERSIDAD DEL PACIFICO","DOCTORADO","LICENCIA OTORGADA",1,7825
"UNIVERSIDAD ESAN","DOCTORADO","LICENCIA OTORGADA",1,6831
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","DOCTORADO","LICENCIA OTORGADA",2,4183
"UNIVERSIDAD MARCELINO CHAMPAGNAT","DOCTORADO","LICENCIA OTORGADA",2,998
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","DOCTORADO","LICENCIA OTORGADA",8,7721
"UNIVERSIDAD NACIONAL DE CAJAMARCA","DOCTORADO","LICENCIA OTORGADA",1,5559
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","DOCTORADO","LICENCIA OTORGADA",6,4808
"UNIVERSIDAD NACIONAL DE INGENIERIA","DOCTORADO","LICENCIA OTORGADA",10,11173
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","DOCTORADO","LICENCIA OTORGADA",17,8437
"UNIVERSIDAD NACIONAL DE PIURA","DOCTORADO","LICENCIA OTORGADA",14,12472
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","DOCTORADO","LICENCIA OTORGADA",6,20340
"UNIVERSIDAD NACIONAL DE SAN MARTIN","DOCTORADO","LICENCIA OTORGADA",5,5597
"UNIVERSIDAD NACIONAL DE TRUJILLO","DOCTORADO","LICENCIA OTORGADA",26,16138
"UNIVERSIDAD NACIONAL DE TUMBES","DOCTORADO","LICENCIA OTORGADA",6,2379
"UNIVERSIDAD NACIONAL DE UCAYALI","DOCTORADO","LICENCIA OTORGADA",3,1264
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","DOCTORADO","LICENCIA OTORGADA",13,15229
"UNIVERSIDAD NACIONAL DEL CALLAO","DOCTORADO","LICENCIA OTORGADA",8,16438
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","DOCTORADO","LICENCIA OTORGADA",7,11545
"UNIVERSIDAD NACIONAL DEL SANTA","DOCTORADO","LICENCIA OTORGADA",20,716
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","DOCTORADO","LICENCIA OTORGADA",5,7569
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","DOCTORADO","LICENCIA OTORGADA",31,33873
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","DOCTORADO","LICENCIA OTORGADA",10,1131
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","DOCTORADO","LICENCIA OTORGADA",11,9642
"UNIVERSIDAD PERUANA UNION","DOCTORADO","LICENCIA OTORGADA",6,8484
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","DOCTORADO","LICENCIA OTORGADA",6,24269
"UNIVERSIDAD PRIVADA DE TACNA","DOCTORADO","LICENCIA OTORGADA",6,5457
"UNIVERSIDAD PRIVADA DEL NORTE","DOCTORADO","LICENCIA OTORGADA",3,26884
"UNIVERSIDAD RICARDO PALMA","DOCTORADO","LICENCIA OTORGADA",3,17450
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","DOCTORADO","LICENCIA OTORGADA",4,22964
