"NOMBRE","ESTADO_LICENCIAMIENTO","PROGRAMAS"
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","LICENCIA OTORGADA",698
"UNIVERSIDAD TECNOLOGICA DEL PERU","LICENCIA OTORGADA",449
"UNIVERSIDAD CESAR VALLEJO","LICENCIA OTORGADA",321
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","LICENCIA OTORGADA",256
"UNIVERSIDAD DE SAN MARTIN DE PORRES","LICENCIA OTORGADA",252
"UNIVERSIDAD PRIVADA DEL NORTE","LICENCIA OTORGADA",239
"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS","LICENCIA OTORGADA",227
"UNIVERSIDAD CIENTIFICA DEL SUR","LICENCIA OTORGADA",172
"UNIVERSIDAD CATOLICA DE SANTA MARIA","LICENCIA OTORGADA",165
"UNIVERSIDAD CATOLICA SEDES SAPIENTIAE","LICENCIA OTORGADA",124
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","LICENCIA OTORGADA",112
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","LICENCIA OTORGADA",100
"UNIVERSIDAD RICARDO PALMA","LICENCIA OTORGADA",98
"UNIVERSIDAD PRIVADA NORBERT WIENER","LICENCIA OTORGADA",97
"UNIVERSIDAD CONTINENTAL","LICENCIA OTORGADA",93
"UNIVERSIDAD PERUANA UNION","LICENCIA OTORGADA",92
"UNIVERSIDAD DE PIURA","LICENCIA OTORGADA",90
"UNIVERSIDAD PRIVADA DE TACNA","LICENCIA OTORGADA",88
