"NOMBRE","DEPARTAMENTO_LOCAL","ESTADO_LICENCIAMIENTO","ESTUDIANTES"
"UNIVERSIDAD NACIONAL DEL SANTA","ANCASH","LICENCIA OTORGADA",716
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","ANCASH","LICENCIA OTORGADA",1131
"UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC","APURIMAC","LICENCIA OTORGADA",2017
"UNIVERSIDAD TECNOLOGICA DE LOS ANDES","APURIMAC","LICENCIA OTORGADA",4093
"UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS","APURIMAC","LICENCIA OTORGADA",1023
"UNIVERSIDAD LA SALLE","AREQUIPA","LICENCIA OTORGADA",88
"UNIVERSIDAD CATOLICA SAN PABLO","AREQUIPA","LICENCIA OTORGADA",7452
"UNIVERSIDAD CATOLICA DE SANTA MARIA","AREQUIPA","LICENCIA OTORGADA",12799
"UNIVERSIDAD NACIONAL AUTONOMA DE HUANTA","AYACUCHO","LICENCIA OTORGADA",180
"UNIVERSIDAD NACIONAL DE CAJAMARCA","CAJAMARCA","LICENCIA OTORGADA",5559
"UNIVERSIDAD NACIONAL DE JAEN","CAJAMARCA","LICENCIA OTORGADA",328
"UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA","CAJAMARCA","LICENCIA OTORGADA",560
"UNIVERSIDAD NACIONAL DEL CALLAO","CALLAO","LICENCIA OTORGADA",16438
"UNIVERSIDAD ANDINA DEL CUSCO","CUSCO","LICENCIA OTORGADA",8420
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","CUSCO","LICENCIA OTORGADA",20340
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","HUANCAVELICA","LICENCIA OTORGADA",4808
"UNIVERSIDAD PARA EL DESARROLLO ANDINO","HUANCAVELICA","LICENCIA OTORGADA",430
"UNIVERSIDAD DE HUANUCO","HUANUCO","LICENCIA OTORGADA",1521
"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA","HUANUCO","LICENCIA OTORGADA",3072
"UNIVERSIDAD AUTONOMA DE ICA","ICA","LICENCIA OTORGADA",1067
"UNIVERSIDAD CONTINENTAL","JUNIN","LICENCIA OTORGADA",29817
"UNIVERSIDAD PERUANA LOS ANDES","JUNIN","LICENCIA OTORGADA",26758
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA","JUNIN","LICENCIA OTORGADA",208
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","JUNIN","LICENCIA OTORGADA",11545
"UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI","LA LIBERTAD","LICENCIA OTORGADA",518
"UNIVERSIDAD NACIONAL DE TRUJILLO","LA LIBERTAD","LICENCIA OTORGADA",16138
"UNIVERSIDAD PRIVADA ANTENOR ORREGO","LA LIBERTAD","LICENCIA OTORGADA",24269
"UNIVERSIDAD PRIVADA DEL NORTE","LA LIBERTAD","LICENCIA OTORGADA",26884
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","LAMBAYEQUE","LICENCIA OTORGADA",8932
"UNIVERSIDAD SENOR DE SIPAN","LAMBAYEQUE","LICENCIA OTORGADA",16795
"UNIVERSIDAD LE CORDON BLEU","LIMA","LICENCIA OTORGADA",655
"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","LIMA","LICENCIA OTORGADA",16018
"UNIVERSIDAD NACIONAL DE INGENIERIA","LIMA","LICENCIA OTORGADA",11173
"UNIVERSIDAD PERUANA UNION","LIMA","LICENCIA OTORGADA",8484
"UNIVERSIDAD DE LIMA","LIMA","LICENCIA OTORGADA",22330
"UNIVERSIDAD PERUANA CAYETANO HEREDIA","LIMA","LICENCIA OTORGADA",9642
"UNIVERSIDAD NACIONAL DE BARRANCA","LIMA","LICENCIA OTORGADA",1637
"UNIVERSIDAD SAN IGNACIO DE LOYOLA","LIMA","LICENCIA OTORGADA",22964
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","LIMA","LICENCIA OTORGADA",36932
"UNIVERSIDAD RICARDO PALMA","LIMA","LICENCIA OTORGADA",17450
"UNIVERSIDAD CIENTIFICA DEL SUR","LIMA","LICENCIA OTORGADA",4650
"UNIVERSIDAD JAIME BAUSATE Y MEZA","LIMA","LICENCIA OTORGADA",2029
"UNIVERSIDAD NACIONAL DE CANETE","LIMA","LICENCIA OTORGADA",1589
"UNIVERSIDAD NACIONAL TECNOLOGICA DE LIMA SUR","LIMA","LICENCIA OTORGADA",2828
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","LIMA","LICENCIA OTORGADA",33873
