"NOMBRE","PROGRAMAS_TOTAL"
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO",209
"UNIVERSIDAD NACIONAL DE TRUJILLO",191
"UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA",181
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA",141
"UNIVERSIDAD CATOLICA DE SANTA MARIA",132
"UNIVERSIDAD NACIONAL DEL ALTIPLANO",120
"UNIVERSIDAD CESAR VALLEJO",106
"UNIVERSIDAD NACIONAL DE PIURA",102
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU",67
"UNIVERSIDAD PRIVADA ANTENOR ORREGO",67
"UNIVERSIDAD PRIVADA DE TACNA",59
"UNIVERSIDAD NACIONAL DEL CALLAO",58
"UNIVERSIDAD NACIONAL HERMILIO VALDIZAN DE HUANUCO",57
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",47
"UNIVERSIDAD NACIONAL DE HUANCAVELICA",41
"UNIVERSIDAD NACIONAL DE UCAYALI",41
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO",40
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO",38
"UNIVERSIDAD ANDINA DEL CUSCO",34
"UNIVERSIDAD NACIONAL DEL SANTA",34
"ASOCIACION CIVIL UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI",32
"UNIVERSIDAD DE PIURA",26
"UNIVERSIDAD NACIONAL DE CAJAMARCA",24
"UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION",22
"UNIVERSIDAD NACIONAL DE SAN MARTIN",22
"UNIVERSIDAD PRIVADA DEL NORTE",22
"UNIVERSIDAD DE HUANUCO",19
"UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA",18
"UNIVERSIDAD CONTINENTAL",16
"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA",16
"UNIVERSIDAD NACIONAL DE TUMBES",16
"UNIVERSIDAD SENOR DE SIPAN",16
"UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS",13
"UNIVERSIDAD CATOLICA SAN PABLO",3
"UNIVERSIDAD LA SALLE",3
