"NOMBRE","NIVEL_ACADEMICO","PROGRAMAS"
"ASOCIACION CIVIL UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI","CARRERA PROFESIONAL",34
"ASOCIACION CIVIL UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI","MAESTRIA",20
"ASOCIACION CIVIL UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI","SEGUNDA ESPECIALIDAD",12
"ASOCIACION CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES","CARRERA PROFESIONAL",10
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","MAESTRIA",147
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","CARRERA PROFESIONAL",64
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","DOCTORADO",23
"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","SEGUNDA ESPECIALIDAD",22
"UNIVERSIDAD ANDINA DEL CUSCO","CARRERA PROFESIONAL",31
"UNIVERSIDAD ANDINA DEL CUSCO","MAESTRIA",14
"UNIVERSIDAD ANDINA DEL CUSCO","SEGUNDA ESPECIALIDAD",13
"UNIVERSIDAD ANDINA DEL CUSCO","DOCTORADO",7
"UNIVERSIDAD ANTONIO RUIZ DE MONTOYA","CARRERA PROFESIONAL",38
"UNIVERSIDAD ANTONIO RUIZ DE MONTOYA","MAESTRIA",24
"UNIVERSIDAD ANTONIO RUIZ DE MONTOYA","SEGUNDA ESPECIALIDAD",4
"UNIVERSIDAD AUTONOMA DEL PERU","CARRERA PROFESIONAL",11
"UNIVERSIDAD AUTONOMA DEL PERU","MAESTRIA",1
"UNIVERSIDAD CATOLICA DE SANTA MARIA","SEGUNDA ESPECIALIDAD",76
"UNIVERSIDAD CATOLICA DE SANTA MARIA","MAESTRIA",44
"UNIVERSIDAD CATOLICA DE SANTA MARIA","CARRERA PROFESIONAL",33
"UNIVERSIDAD CATOLICA DE SANTA MARIA","DOCTORADO",12
"UNIVERSIDAD CATOLICA SAN PABLO","CARRERA PROFESIONAL",9
"UNIVERSIDAD CATOLICA SAN PABLO","MAESTRIA",3
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","SEGUNDA ESPECIALIDAD",24
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","CARRERA PROFESIONAL",23
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","MAESTRIA",14
"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","DOCTORADO",2
"UNIVERSIDAD CATOLICA SEDES SAPIENTIAE","CARRERA PROFESIONAL",107
"UNIVERSIDAD CATOLICA SEDES SAPIENTIAE","MAESTRIA",11
"UNIVERSIDAD CATOLICA SEDES SAPIENTIAE","SEGUNDA ESPECIALIDAD",6
"UNIVERSIDAD CESAR VALLEJO","CARRERA PROFESIONAL",167
"UNIVERSIDAD CESAR VALLEJO","MAESTRIA",106
"UNIVERSIDAD CESAR VALLEJO","DOCTORADO",28
"UNIVERSIDAD CESAR VALLEJO","SEGUNDA ESPECIALIDAD",20
"UNIVERSIDAD CIENTIFICA DEL SUR","SEGUNDA ESPECIALIDAD",62
"UNIVERSIDAD CIENTIFICA DEL SUR","CARRERA PROFESIONAL",57
"UNIVERSIDAD CIENTIFICA DEL SUR","MAESTRIA",53
"UNIVERSIDAD CONTINENTAL","CARRERA PROFESIONAL",70
"UNIVERSIDAD CONTINENTAL","MAESTRIA",21
"UNIVERSIDAD CONTINENTAL","SEGUNDA ESPECIALIDAD",2
"UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA","CARRERA PROFESIONAL",12
"UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA","MAESTRIA",3
"UNIVERSIDAD DE HUANUCO","CARRERA PROFESIONAL",29
"UNIVERSIDAD DE HUANUCO","MAESTRIA",14
"UNIVERSIDAD DE HUANUCO","DOCTORADO",3
"UNIVERSIDAD DE HUANUCO","SEGUNDA ESPECIALIDAD",2
"UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA","CARRERA PROFESIONAL",11
"UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA","MAESTRIA",7
"UNIVERSIDAD DE LIMA","CARRERA PROFESIONAL",12
"UNIVERSIDAD DE LIMA","MAESTRIA",5
"UNIVERSIDAD DE LIMA","DOCTORADO",1
"UNIVERSIDAD DE PIURA","MAESTRIA",49
"UNIVERSIDAD DE PIURA","CARRERA PROFESIONAL",36
"UNIVERSIDAD DE PIURA","DOCTORADO",5
"UNIVERSIDAD DE SAN MARTIN DE PORRES","SEGUNDA ESPECIALIDAD",109
"UNIVERSIDAD DE SAN MARTIN DE PORRES","MAESTRIA",76
"UNIVERSIDAD DE SAN MARTIN DE PORRES","CARRERA PROFESIONAL",53
"UNIVERSIDAD DE SAN MARTIN DE PORRES","DOCTORADO",14
"UNIVERSIDAD DEL PACIFICO","MAESTRIA",20
"UNIVERSIDAD DEL PACIFICO","CARRERA PROFESIONAL",9
"UNIVERSIDAD DEL PACIFICO","DOCTORADO",1
"UNIVERSIDAD ESAN","MAESTRIA",16
"UNIVERSIDAD ESAN","CARRERA PROFESIONAL",11
"UNIVERSIDAD ESAN","DOCTORADO",1
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","CARRERA PROFESIONAL",18
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","MAESTRIA",12
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","SEGUNDA ESPECIALIDAD",6
"UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON","DOCTORADO",2
"UNIVERSIDAD JAIME BAUSATE Y MEZA","CARRERA PROFESIONAL",2
"UNIVERSIDAD JAIME BAUSATE Y MEZA","MAESTRIA",1
"UNIVERSIDAD LA SALLE","CARRERA PROFESIONAL",3
"UNIVERSIDAD LA SALLE","MAESTRIA",3
"UNIVERSIDAD LE CORDON BLEU","CARRERA PROFESIONAL",7
"UNIVERSIDAD LE CORDON BLEU","MAESTRIA",2
"UNIVERSIDAD MARCELINO CHAMPAGNAT","CARRERA PROFESIONAL",17
"UNIVERSIDAD MARCELINO CHAMPAGNAT","MAESTRIA",15
"UNIVERSIDAD MARCELINO CHAMPAGNAT","SEGUNDA ESPECIALIDAD",3
"UNIVERSIDAD MARCELINO CHAMPAGNAT","DOCTORADO",2
"UNIVERSIDAD MARIA AUXILIADORA","CARRERA PROFESIONAL",7
"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA","MAESTRIA",16
"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA","CARRERA PROFESIONAL",12
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","MAESTRIA",28
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","CARRERA PROFESIONAL",12
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","DOCTORADO",8
"UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS","CARRERA PROFESIONAL",13
"UNIVERSIDAD NACIONAL AUTONOMA ALTOANDINA DE TARMA","CARRERA PROFESIONAL",3
"UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS","CARRERA PROFESIONAL",5
"UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA","CARRERA PROFESIONAL",5
"UNIVERSIDAD NACIONAL AUTONOMA DE HUANTA","CARRERA PROFESIONAL",3
"UNIVERSIDAD NACIONAL AUTONOMA DE TAYACAJA DANIEL HERNANDEZ MORILLO","CARRERA PROFESIONAL",5
"UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION","CARRERA PROFESIONAL",39
"UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION","MAESTRIA",20
"UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION","DOCTORADO",2
"UNIVERSIDAD NACIONAL DE BARRANCA","CARRERA PROFESIONAL",7
"UNIVERSIDAD NACIONAL DE CAJAMARCA","CARRERA PROFESIONAL",34
"UNIVERSIDAD NACIONAL DE CAJAMARCA","SEGUNDA ESPECIALIDAD",22
"UNIVERSIDAD NACIONAL DE CAJAMARCA","DOCTORADO",1
"UNIVERSIDAD NACIONAL DE CAJAMARCA","MAESTRIA",1
"UNIVERSIDAD NACIONAL DE CANETE","CARRERA PROFESIONAL",10
"UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE","CARRERA PROFESIONAL",53
"UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE","MAESTRIA",17
"UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE","SEGUNDA ESPECIALIDAD",5
"UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE","DOCTORADO",3
"UNIVERSIDAD NACIONAL DE FRONTERA","CARRERA PROFESIONAL",3
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","MAESTRIA",21
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","CARRERA PROFESIONAL",20
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","SEGUNDA ESPECIALIDAD",14
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","DOCTORADO",6
"UNIVERSIDAD NACIONAL DE INGENIERIA","MAESTRIA",46
"UNIVERSIDAD NACIONAL DE INGENIERIA","CARRERA PROFESIONAL",28
"UNIVERSIDAD NACIONAL DE INGENIERIA","SEGUNDA ESPECIALIDAD",13
"UNIVERSIDAD NACIONAL DE INGENIERIA","DOCTORADO",10
"UNIVERSIDAD NACIONAL DE JAEN","CARRERA PROFESIONAL",5
"UNIVERSIDAD NACIONAL DE JULIACA","CARRERA PROFESIONAL",5
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","CARRERA PROFESIONAL",99
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","MAESTRIA",84
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","SEGUNDA ESPECIALIDAD",40
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","DOCTORADO",17
"UNIVERSIDAD NACIONAL DE MOQUEGUA","CARRERA PROFESIONAL",7
"UNIVERSIDAD NACIONAL DE PIURA","MAESTRIA",75
"UNIVERSIDAD NACIONAL DE PIURA","CARRERA PROFESIONAL",36
"UNIVERSIDAD NACIONAL DE PIURA","DOCTORADO",14
"UNIVERSIDAD NACIONAL DE PIURA","SEGUNDA ESPECIALIDAD",13
"UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA","SEGUNDA ESPECIALIDAD",86
"UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA","MAESTRIA",75
"UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA","CARRERA PROFESIONAL",63
"UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA","DOCTORADO",20
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","MAESTRIA",173
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","CARRERA PROFESIONAL",56
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","SEGUNDA ESPECIALIDAD",30
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","DOCTORADO",6
"UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA","CARRERA PROFESIONAL",30
"UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA","MAESTRIA",16
"UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA","DOCTORADO",1
"UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA","SEGUNDA ESPECIALIDAD",1
"UNIVERSIDAD NACIONAL DE SAN MARTIN","CARRERA PROFESIONAL",23
"UNIVERSIDAD NACIONAL DE SAN MARTIN","MAESTRIA",12
"UNIVERSIDAD NACIONAL DE SAN MARTIN","DOCTORADO",5
"UNIVERSIDAD NACIONAL DE SAN MARTIN","SEGUNDA ESPECIALIDAD",5
"UNIVERSIDAD NACIONAL DE TRUJILLO","MAESTRIA",89
"UNIVERSIDAD NACIONAL DE TRUJILLO","SEGUNDA ESPECIALIDAD",76
"UNIVERSIDAD NACIONAL DE TRUJILLO","CARRERA PROFESIONAL",61
"UNIVERSIDAD NACIONAL DE TRUJILLO","DOCTORADO",26
"UNIVERSIDAD NACIONAL DE TUMBES","CARRERA PROFESIONAL",18
"UNIVERSIDAD NACIONAL DE TUMBES","MAESTRIA",10
"UNIVERSIDAD NACIONAL DE TUMBES","DOCTORADO",6
"UNIVERSIDAD NACIONAL DE UCAYALI","CARRERA PROFESIONAL",37
