"NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","DEPARTAMENTO_LOCAL","ESTUDIANTES"
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","PUBLICO","LICENCIA OTORGADA","CUSCO",18243
"UNIVERSIDAD NACIONAL DEL CALLAO","PUBLICO","LICENCIA OTORGADA","CALLAO",15567
"UNIVERSIDAD NACIONAL DEL ALTIPLANO","PUBLICO","LICENCIA OTORGADA","PUNO",13873
"UNIVERSIDAD NACIONAL DE TRUJILLO","PUBLICO","LICENCIA OTORGADA","LA LIBERTAD",13844
"UNIVERSIDAD NACIONAL DE PIURA","PUBLICO","LICENCIA OTORGADA","PIURA",12059
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU","PUBLICO","LICENCIA OTORGADA","JUNIN",10821
"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","PUBLICO","LICENCIA OTORGADA","LORETO",6917
"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","PUBLICO","LICENCIA OTORGADA","TACNA",6400
"UNIVERSIDAD NACIONAL DE CAJAMARCA","PUBLICO","LICENCIA OTORGADA","CAJAMARCA",4844
"UNIVERSIDAD NACIONAL DE SAN MARTIN","PUBLICO","LICENCIA OTORGADA","SAN MARTIN",4816
"UNIVERSIDAD NACIONAL DE HUANCAVELICA","PUBLICO","LICENCIA OTORGADA","HUANCAVELICA",4210
"UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS","PUBLICO","LICENCIA OTORGADA","MADRE DE DIOS",3132
"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA","PUBLICO","LICENCIA OTORGADA","HUANUCO",3072
"UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC","PUBLICO","LICENCIA OTORGADA","APURIMAC",2017
"UNIVERSIDAD NACIONAL DE TUMBES","PUBLICO","LICENCIA OTORGADA","TUMBES",1868
"UNIVERSIDAD NACIONAL DE JULIACA","PUBLICO","LICENCIA OTORGADA","PUNO",1666
"UNIVERSIDAD NACIONAL DE MOQUEGUA","PUBLICO","LICENCIA OTORGADA","MOQUEGUA",1596
"UNIVERSIDAD NACIONAL DE FRONTERA","PUBLICO","LICENCIA OTORGADA","PIURA",1260
"UNIVERSIDAD NACIONAL DE UCAYALI","PUBLICO","LICENCIA OTORGADA","UCAYALI",1084
"UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO","PUBLICO","LICENCIA OTORGADA","ANCASH",1045
"UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS","PUBLICO","LICENCIA OTORGADA","APURIMAC",1023
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA","PUBLICO","LICENCIA OTORGADA","UCAYALI",785
"UNIVERSIDAD NACIONAL DEL SANTA","PUBLICO","LICENCIA OTORGADA","ANCASH",617
"UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA","PUBLICO","LICENCIA OTORGADA","CAJAMARCA",491
"UNIVERSIDAD NACIONAL DE JAEN","PUBLICO","LICENCIA OTORGADA","CAJAMARCA",226
"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA","PUBLICO","LICENCIA OTORGADA","JUNIN",208
"UNIVERSIDAD NACIONAL AUTONOMA DE HUANTA","PUBLICO","LICENCIA OTORGADA","AYACUCHO",180
"UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS","PUBLICO","LICENCIA OTORGADA","LORETO",118
